Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2005,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12074,12372,24446,,,,,,,,,249760,,,249760,7435705,90501,,7526206,,,,,,,,,39371,93990,,133361,,,,,,,,,,,,,,31391,,31391,50365537,,,50365537,18418,50568,,68986,23257,86605,,109862,2891752,,,2891752,,,,,,,,,,,,,,5424,,5424,,,,,,,,,6695,4986,,11681,,70418,,70418,,,,,42373,19533,,61906,,,,,,,,,,,,,,,,,8181,42598,,50779,,,,,,,,,,,,,,54869,,54869,,4845,,4845,,,,,54016,,,54016,,,,,61135065,555728,,23761648,85452441
2005,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1987,2045,4032,,,,,,,,,,,,,50821,45873,,96694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94214,,94214,,,,,,,,,,,,,,,,,50821,140087,,232604,423512
2006,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,14964,17624,32588,,,,,,,,,161767,,,161767,13225963,834438,,14060401,,,,,,,,,155861,70450,,226311,,,,,,,,,,,,,,106786,,106786,40795755,,,40795755,973183,1024075,,1997258,,61479,,61479,2276083,,,2276083,,,,,,,,,,,,,,111591,,111591,,,,,,,,,268747,244880,,513627,,90125,,90125,,,,,95594,81791,,177385,,,,,,,,,,,,,,,,,82306,12889,,95195,,,,,,,,,,,,,,319401,,319401,,,,,,,,,198377,,,198377,,,,,58233636,2957905,,11980366,73171907
2006,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3921,1158,5079,,,,,,,,,,,,,542269,446474,,988743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136993,,,1136993,,,,,,,,,1824187,,,1824187,,,,,,,,,,,,,,,,,,,,,39711,39711,,79422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39932,131720,,171652,,,,,,,,,64273,64273,,128546,,369559,,369559,,,,,,,,,,,,,,,,,3647365,1051737,,1171352,5870454
2006,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12218,12413,24631,,,,,,,,,301656,,,301656,7536902,83929,,7620831,,,,,,,,,43561,120156,,163717,,,,,,,,,,,,,,19884,,19884,50982629,,,50982629,25125,33019,,58144,35477,47801,,83278,2588296,,,2588296,,,,,,,,,,,,,,4930,,4930,,,,,,,,,15673,13402,,29075,,85685,,85685,,,,,41823,86174,,127997,,,,,,,,,,,,,,,,,27699,40023,,67722,,,,,,,,,,,,,,49829,,49829,,2500,,2500,,,,,51546,,,51546,,,,,61650387,587332,,26842263,89079982
2006,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,1980,2033,4013,,,,,,,,,,,,,58099,62165,,120264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128980,,128980,,,,,,,,,,,,,,,,,58099,191145,,56000,305244
2007,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15307,17606,32913,,,,,,,,,187522,,,187522,15839369,832540,,16671909,,,,,,,,,116070,88387,,204457,,,,,,,,,,,,,,84321,,84321,43826312,,,43826312,339986,444061,,784047,,70626,,70626,2762075,,,2762075,,,,,,,,,,,,,,90158,,90158,,,,,,,,,312256,297120,,609376,,114345,,114345,,,,,93013,55936,,148949,,,,,,,,,,,,,,,,,97652,26097,,123749,,,,,,,,,,,,,,438617,,438617,,,,,,,,,178210,,,178210,,,,,63752465,2542208,,11444073,77738746
2007,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4064,1226,5290,,,,,,,,,,,,,545788,469310,,1015098,,,,,,,,,113205,113205,,226410,,,,,,,,,,,,,,,,,1258402,,,1258402,,,,,,,,,1808304,,,1808304,,,,,,,,,,,,,,,,,,,,,62584,62583,,125167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51561,171898,,223459,,,,,,,,,,,,,,401762,,401762,,,,,,,,,,,,,,,,,3839844,1218758,,866213,5924815
2007,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12556,12623,25179,,,,,,,,,343226,,,343226,7797461,98509,,7895970,,,,,,,,,39213,169885,,209098,,,,,,,,,,,,,,25569,,25569,57463603,,,57463603,25268,27445,,52713,32929,70878,,103807,2562685,,,2562685,,,,,,,,,,,,,,18564,,18564,,,,,,,,,35685,1011,,36696,,90640,,90640,,,,,65568,28295,,93863,,,,,,,,,,,,,,,,,78025,60038,,138063,,,,,,,,,,,,,,66982,,66982,,18533,,18533,,,,,55717,,,55717,,,,,68499380,676349,,29851376,99027105
2007,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2087,2126,4213,,,,,,,,,,,,,62438,74330,,136768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113896,,113896,,,,,,,,,,,,,,,,,62438,188226,,73876,324540
2008,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15425,17671,33096,,,,,,,,,1006989,,,1006989,15592500,778980,,16371480,,,,,,,,,124934,102785,,227719,,,,,,,,,,,,,,145249,,145249,43506725,,,43506725,255313,347516,,602829,,78838,,78838,2195480,,,2195480,,,,,,,,,,,,,,89665,,89665,,,,,,,,,304326,299259,,603585,,83925,,83925,,,,,95279,69064,,164343,,,,,,,,,,,,,,,,,78495,28407,,106902,,,,,,,,,,,,,,468861,,468861,,,,,,,,,177988,,,177988,,,,,63338029,2492549,,9794233,75624811
2008,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4278,1303,5581,,,,,,,,,,,,,513490,433057,,946547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221024,,,1221024,,,,,,,,,2299971,,,2299971,,,,,,,,,,,,,,,,,,,,,68216,68215,,136431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69244,194525,,263769,,,,,61256,39164,,100420,77640,56222,,133862,,427272,,427272,,,,,,,,,,,,,,,,,4310841,1218455,,1058773,6588069
