Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2008,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12587,12515,25102,,,,,,,,,322938,,,322938,7978071,100485,,8078556,,,,,,,,,36840,139401,,176241,,,,,,,,,,,,,,22686,,22686,52246025,,,52246025,31955,25540,,57495,24626,50686,,75312,2481354,,,2481354,,,,,,,,,,,,,,30550,,30550,,,,,,,,,31177,1131,,32308,,146895,,146895,,,,,41214,37633,,78847,,,,,,,,,,,,,,,,,20533,46939,,67472,,,,,,,,,,,,,,89526,,89526,,15065,,15065,,,,,41619,,,41619,,,,,63256352,706537,,31230141,95193030
2008,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2149,2244,4393,,,,,,,,,,,,,118494,73585,,192079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111976,,111976,,,,,,,,,,,,,,,,,118494,185561,,109586,413641
2009,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15709,17529,33238,,,,,,,,,1135644,,,1135644,16138167,957151,,17095318,,,,,,,,,154892,118005,,272897,,,,,,,,,,,,,,177580,,177580,44462659,,,44462659,212515,381808,,594323,,95060,,95060,2097530,,,2097530,,,,,,,,,,,,,,128398,,128398,,,,,,,,,287050,284436,,571486,,1113281,,1113281,,,,,102267,87801,,190068,,,,,,,,,,,,,,,,,90884,28226,,119110,,,,,,,,,,,,,,424185,,424185,,,,,,,,,127417,,,127417,,,,,64809025,3795931,,11459191,80064147
2009,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4209,1347,5556,,,,,,,,,,,,,571636,555604,,1127240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371858,,,1371858,,,,,,,,,1926270,,,1926270,,,,,,,,,,,,,,,,,,,,,86860,86860,,173720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89696,183609,,273305,,,,,75234,48100,,123334,86313,62503,,148816,,379633,,379633,,,,,,,,,,,,,,,,,4207867,1316309,,1072531,6596707
2009,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12812,12449,25261,,,,,,,,,283887,,,283887,8321413,89448,,8410861,,,,,,,,,40406,129527,,169933,,,,,,,,,,,,,,23732,,23732,63189417,,,63189417,29019,40313,,69332,36245,55813,,92058,2452426,,,2452426,,,,,,,,,,,,,,26296,,26296,,,,,,,,,35938,5576,,41514,,164715,,164715,,,,,53056,34743,,87799,,,,,,,,,,,,,,,,,16025,56654,,72679,,,,,,,,,,,,,,78032,,78032,,21560,,21560,,,,,31314,,,31314,,,,,74489146,726409,,31450636,106666191
2009,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2314,2382,4696,,,,,,,,,,,,,30433,80804,,111237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59502,,59502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140884,,140884,,,,,,,,,,,,,,,,,30433,281190,,52576,364199
2010,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15627,17093,32720,,,,,,,,,1186386,,,1186386,16479208,860942,,17340150,,,,,,,,,194071,166739,,360810,,,,,,,,,,,,,,194398,,194398,45040778,,,45040778,252525,395299,,647824,,102487,,102487,1776187,,,1776187,,,,,,,,,,,,,,154752,,154752,,,,,,,,,372994,351828,,724822,,180637,,180637,,,,,92601,70456,,163057,,,,,,,,,,,,,,,,,115580,72655,,188235,,,,,,,,,,,,,,405899,,405899,,,,,,,,,153744,,,153744,,,,,65664074,2956092,,12343016,80963182
2010,171128,Michigan Technological University,MI,NCAA Division II (with football),Division I Men's Ice Hockey,1,NCAA,4000,1318,5318,,,,,,,,,,,,,647511,599804,,1247315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428345,,,1428345,,,,,,,,,1877924,,,1877924,,,,,,,,,,,,,,,,,,,,,92495,92495,,184990,,346176,,346176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93143,191273,,284416,,,,,75853,68719,,144572,74945,69627,,144572,,404897,,404897,,,,,,,,,,,,,,,,,4290216,1772991,,1211853,7275060
2010,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13255,12841,26096,,,,,,,,,306713,,,306713,9154689,141596,,9296285,,,,,,,,,36842,126181,,163023,,,,,,,,,,,,,,27955,,27955,70300676,,,70300676,34015,41310,,75325,38792,81385,,120177,4102771,,,4102771,,,,,,,,,,,,,,23868,,23868,,,,,,,,,106428,27390,,133818,,220627,,220627,,,,,59925,56921,,116846,,,,,,,,,,,,,,,,,23892,57907,,81799,,,,,,,,,,,,,,125187,,125187,,1317,,1317,,,,,49804,,,49804,,,,,84214547,931644,,37340299,122486490
2010,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2397,2409,4806,,,,,,,,,,,,,76628,62756,,139384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86130,,86130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87685,,87685,,,,,,,,,,,,,,,,,76628,236571,,184517,497716
2011,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,16036,16980,33016,,,,,,,,,1404381,,,1404381,19228130,847826,,20075956,,,,,,,,,228078,171994,,400072,,,,,,,,,,,,,,179389,,179389,49754373,,,49754373,297218,389786,,687004,,137812,,137812,1920645,,,1920645,,,,,,,,,,,,,,120760,,120760,,,,,,,,,444616,383434,,828050,,248488,,248488,,,,,220606,85149,,305755,,,,,,,,,,,,,,,,,122137,63540,,185677,,,,,,,,,,,,,,457537,,457537,,,,,,,,,118889,,,118889,,,,,73739073,3085715,,2194747,79019535
2011,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3977,1337,5314,,,,,,,,,,,,,726914,607044,,1333958,,,,,,,,,193267,113223,,306490,,,,,,,,,,,,,,,,,1512520,,,1512520,,,,,,,,,1923497,,,1923497,,,,,,,,,,,,,,,,,,,,,117849,98256,,216105,,370763,,370763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62897,176050,,238947,,,,,,,,,,,,,,446259,,446259,,,,,,,,,,,,,,,,,4536944,1811595,,1062697,7411236
2011,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13441,13019,26460,,,,,,,,,358675,,,358675,9880283,184632,,10064915,,,,,,,,,56495,130500,,186995,,,,,,,,,,,,,,33611,,33611,85209247,,,85209247,32742,43060,,75802,25619,61878,,87497,2866947,,,2866947,781904,,,781904,,,,,,,,,,44918,,44918,,,,,,,,,74332,35826,,110158,,243103,,243103,,,,,60050,47065,,107115,,,,,,,,,,,,,,,,,43581,55161,,98742,,,,,,,,,,,,,,109021,,109021,,3850,,3850,,,,,55551,,,55551,,,,,99445426,992625,,28312319,128750370
2011,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2388,2425,4813,,,,,,,,,,,,,89097,62261,,151358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130437,,130437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20144,16787,,36931,,184378,,184378,,,,,,,,,,,,,,,,,109241,393863,,218542,721646
2012,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,16749,17153,33902,,,,,,,,,808433,,,808433,18502472,789655,,19292127,,,,,,,,,441517,199677,,641194,,,,,,,,,,,,,,189081,,189081,47869615,,,47869615,638443,499539,,1137982,,219450,,219450,2214706,,,2214706,,,,,,,,,,,,,,100265,,100265,,,,,,,,,428697,366541,,795238,,229711,,229711,,,,,311814,214996,,526810,,,,,,,,,,,,,,,,,198896,60335,,259231,,,,,,,,,,,,,,540993,,540993,,,,,,,,,131571,,,131571,,,,,71546164,3410243,,4413180,79369587
2012,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3896,1299,5195,,,,,,,,,,,,,689126,576310,,1265436,,,,,,,,,196363,145663,,342026,,,,,,,,,,,,,,,,,1457638,,,1457638,,,,,,,,,2462094,,,2462094,,,,,,,,,,,,,,,,,,,,,117852,84991,,202843,,364096,,364096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93886,202662,,296548,,,,,,,,,,,,,,479899,,479899,,,,,,,,,,,,,,,,,5016959,1853621,,1184825,8055405
2012,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13745,13209,26954,,,,,,,,,312388,,,312388,14799440,440353,,15239793,,,,,,,,,49629,141452,,191081,,,,,,,,,,,,,,64657,,64657,81475191,,,81475191,32305,45360,,77665,48403,100723,,149126,3248026,,,3248026,2378900,,,2378900,,,,,,,,,,32098,,32098,,,,,,,,,72622,45000,,117622,,300721,,300721,,,,,75302,49097,,124399,,,,,,,,,,,,,,,,,18579,62831,,81410,,,,,,,,,,,,,,151635,,151635,,2798,,2798,,,,,43512,,,43512,,,,,102554297,1436725,,18751230,122742252
2012,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2363,2393,4756,,,,,,,,,,,,,83831,47948,,131779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63450,,,63450,,,,,,,,,,,,,,,,,,,,,,,,,66035,,,66035,,151730,,151730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22444,19006,,41450,,168164,,168164,,,,,,,,,,,,,,,,,235760,386848,,77424,700032
2013,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17111,17465,34576,,,,,,,,,588262,,,588262,18352543,959923,,19312466,,,,,,,,,309346,252694,,562040,,,,,,,,,,,,,,187790,,187790,52793124,,,52793124,294308,525688,,819996,,129134,,129134,2292833,,,2292833,,,,,,,,,,,,,,123463,,123463,,,,,,,,,415790,349352,,765142,,170916,,170916,,,,,154737,115838,,270575,,,,,,,,,,,,,,,,,164712,69766,,234478,,,,,,,,,,,,,,580077,,580077,,,,,,,,,111813,,,111813,,,,,75477468,3464641,,7644046,86586155
2013,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3881,1316,5197,,,,,,,,,,,,,713421,612904,,1326325,,,,,,,,,219959,123221,,343180,,,,,,,,,,,,,,,,,1554559,,,1554559,,,,,,,,,2134490,,,2134490,,,,,,,,,,,,,,,,,,,,,117189,113924,,231113,,419875,,419875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112692,226221,,338913,,,,,,,,,,,,,,458295,,458295,,,,,,,,,,,,,,,,,4852310,1954440,,1619511,8426261
2013,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13814,13414,27228,,,,,,,,,281350,,,281350,13636966,195948,,13832914,,,,,,,,,43840,134653,,178493,,,,,,,,,,,,,,35832,,35832,91383749,,,91383749,39744,29700,,69444,47304,98845,,146149,3175116,,,3175116,552156,34417,,586573,,,,,,,,,,37252,,37252,,,,,,,,,57617,63678,,121295,,276325,,276325,,,,,86117,49204,,135321,,,,,,,,,,,,,,,,,40115,48467,,88582,,,,,,,,,,,,,,143770,,143770,,18975,,18975,,,,,60509,,,60509,,,,,109404583,1167066,,25298142,135869791
2013,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2405,2312,4717,,,,,,,,,,,,,87036,55916,,142952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107776,,,107776,55355,,,55355,,,,,,,,,,,,,,,,,,,,,58265,,,58265,,130900,,130900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48616,46347,,94963,,222649,,222649,,,,,,,,,,,,,,,,,357048,455812,,123024,935884
2014,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17257,17781,35038,,,,,,,,,493410,,,493410,17836717,716605,,18553322,,,,,,,,,148634,137103,,285737,,,,,,,,,,,,,,131203,,131203,59227831,,,59227831,312787,450295,,763082,,106273,,106273,1759464,,,1759464,,,,,,,,,,,,,,89835,,89835,,,,,,,,,453697,329469,,783166,,171637,,171637,,,,,124676,81752,,206428,,,,,,,,,,,,,,,,,175305,42538,,217843,,,,,,,,,,,,,,516806,,516806,,,,,,,,,143203,,,143203,,,,,80675724,2773516,,10429051,93878291
2014,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3907,1334,5241,,,,,,,,,,,,,660802,605847,,1266649,,,,,,,,,256310,141302,,397612,,,,,,,,,,,,,,,,,1606978,,,1606978,,,,,,,,,2443654,,,2443654,,,,,,,,,,,,,,,,,,,,,105967,105967,,211934,,417627,,417627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111664,206887,,318551,,,,,,,,,,,,,,464765,,464765,,,,,,,,,,,,,,,,,5185375,1942395,,1567373,8695143
2014,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13789,13508,27297,,,,,,,,,309585,,,309585,14192368,287106,,14479474,,,,,,,,,48259,151405,,199664,,,,,,,,,,,,,,43789,,43789,88251525,,,88251525,61628,37764,,99392,56644,139243,,195887,2975157,,,2975157,199480,51935,,251415,,,,,,,,,,67881,,67881,,,,,,,,,84178,68624,,152802,,322965,,322965,,,,,93896,67109,,161005,,,,,,,,,,,,,,,,,25320,67109,,92429,,,,,,,,,,,,,,159459,,159459,,38741,,38741,,,,,103723,,,103723,,,,,106401763,1503130,,24431132,132336025
2014,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2476,2266,4742,,,,,,,,,,,,,67823,66229,,134052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87902,,,87902,40161,,,40161,,,,,,,,,,,,,,,,,,,,,52106,,,52106,,152175,,152175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24478,28479,,52957,,120637,,120637,,,,,,,,,,,,,,,,,272470,367520,,97059,737049
2015,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17376,18049,35425,,,,,,,,,592855,,,592855,17639546,796433,,18435979,,,,,,,,,187727,143071,,330798,,,,,,,,,,,,,,146024,,146024,64661163,,,64661163,322045,363190,,685235,,104286,,104286,2157426,,,2157426,,,,,,,,,,,,,,55172,,55172,,,,,,,,,395854,336661,,732515,,114330,,114330,,,,,256923,75758,,332681,,,,,,,,,,,,,,,,,145505,62038,,207543,,,,,,,,,,,,,,561967,,561967,,,,,,,,,98775,,,98775,,,,,86457819,2758930,,11697874,100914623
2015,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3904,1425,5329,,,,,,,,,,,,,820052,646911,,1466963,,,,,,,,,287212,172262,,459474,,,,,,,,,,,,,,,,,1765459,,,1765459,,,,,,,,,2190890,,,2190890,,,,,,,,,,,,,,,,,,,,,107212,124672,,231884,,434078,,434078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126559,233905,,360464,,,,,,,,,,,,,,509759,,509759,,,,,,,,,,,,,,,,,5297384,2121587,,1678622,9097593
2015,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13642,13519,27161,,,,,,,,,334708,,,334708,16776377,328219,,17104596,,,,,,,,,42918,115946,,158864,,,,,,,,,,,,,,74578,,74578,97149706,,,97149706,87475,40738,,128213,94222,157938,,252160,2748924,,,2748924,128460,58345,,186805,,,,,,,,,,75652,,75652,,,,,,,,,79197,62914,,142111,,375920,,375920,,,,,112812,76442,,189254,,,,,,,,,,,,,,,,,25651,78635,,104286,,,,,,,,,,,,,,160712,,160712,,49934,,49934,,,,,174385,,,174385,,,,,117754835,1655973,,26808781,146219589
2015,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2556,2320,4876,,,,,,,,,,,,,61088,57260,,118348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65189,,,65189,,,,,,,,,,,,,,,,,,,,,52802,,,52802,,127994,,127994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33631,26171,,59802,,131421,,131421,,,,,,,,,,,,,,,,,212710,342846,,750521,1306077
