Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2008,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15425,17671,33096,,,,,,,,,1156461,,,1156461,9031373,3236827,,12268200,,,,,,,,,806555,1040663,,1847218,,,,,,,,,,,,,,952259,,952259,15862254,,,15862254,489044,583463,,1072507,,851717,,851717,2558483,,,2558483,,,,,,,,,,,,,,1317111,,1317111,,,,,,,,,827980,968270,,1796250,,1041051,,1041051,,,,,571712,751893,,1323605,,,,,,,,,,,,,,,,,404185,442187,,846372,,,,,,,,,,,,,,1477103,,1477103,,,,,,,,,881770,,,881770,,,,,32589817,12662544,,15638668,60891029
2008,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4278,1303,5581,,,,,,,,,,,,,605300,539970,,1145270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420038,,,1420038,,,,,,,,,1536470,,,1536470,,,,,,,,,,,,,,,,,,,,,91716,91716,,183432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85883,202220,,288103,,,,,82621,52823,,135444,87586,63424,,151010,,462133,,462133,,,,,,,,,,,,,,,,,3909614,1412286,,680881,6002781
2008,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12587,12515,25102,,,,,,,,,1646719,,,1646719,4454976,2489346,,6944322,,,,,,,,,1284774,1633855,,2918629,,,,,,,,,,,,,,1208979,,1208979,18034203,,,18034203,540511,659078,,1199589,763913,1290596,,2054509,2469626,,,2469626,,,,,,,,,,,,,,1737373,,1737373,,,,,,,,,845358,1154116,,1999474,,1316288,,1316288,,,,,1153846,1157990,,2311836,,,,,,,,,,,,,,,,,645090,879452,,1524542,,,,,,,,,,,,,,1182775,,1182775,,834452,,834452,,,,,1050959,,,1050959,,,,,32889975,15544300,,30755867,79190142
2008,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2149,2244,4393,,,,,,,,,,,,,118494,60232,,178726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123415,,123415,,,,,,,,,,,,,,,,,118494,183647,,109586,411727
2009,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15709,17529,33238,,,,,,,,,984022,,,984022,8250450,2947271,,11197721,,,,,,,,,862536,1129024,,1991560,,,,,,,,,,,,,,1067610,,1067610,17468458,,,17468458,447297,574232,,1021529,,886594,,886594,2526966,,,2526966,,,,,,,,,,,,,,1323202,,1323202,,,,,,,,,826223,940225,,1766448,,1057350,,1057350,,,,,542250,719029,,1261279,,,,,,,,,,,,,,,,,373357,478417,,851774,,,,,,,,,,,,,,1347925,,1347925,,,,,,,,,774623,,,774623,,,,,33056182,12470879,,16059886,61586947
2009,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,4209,1347,5556,,,,,,,,,,,,,600790,614331,,1215121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1447757,,,1447757,,,,,,,,,1586286,,,1586286,,,,,,,,,,,,,,,,,,,,,102491,79456,,181947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117831,192443,,310274,,,,,85032,54364,,139396,93999,68068,,162067,,415518,,415518,,,,,,,,,,,,,,,,,4034186,1424180,,938609,6396975
2009,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,12812,12449,25261,,,,,,,,,1618903,,,1618903,4913440,2369334,,7282774,,,,,,,,,1364784,1566626,,2931410,,,,,,,,,,,,,,1201681,,1201681,18328233,,,18328233,519314,468025,,987339,840453,1304927,,2145380,2496297,,,2496297,,,,,,,,,,,,,,1621461,,1621461,,,,,,,,,911696,1163773,,2075469,,1401908,,1401908,,,,,1137378,1173028,,2310406,,,,,,,,,,,,,,,,,647716,860570,,1508286,,,,,,,,,,,,,,1286174,,1286174,,828236,,828236,,,,,937892,,,937892,,,,,33716106,15245743,,33155161,82117010
2009,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2314,2382,4696,,,,,,,,,,,,,27028,76088,,103116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51996,,51996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134127,,134127,,,,,,,,,,,,,,,,,27028,262211,,54676,343915
2010,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,15627,17093,32720,,,,,,,,,1143443,,,1143443,9263945,3177195,,12441140,,,,,,,,,871265,1174366,,2045631,,,,,,,,,,,,,,1016423,,1016423,17420499,,,17420499,527301,646720,,1174021,,915113,,915113,3077132,,,3077132,,,,,,,,,,,,,,1488595,,1488595,,,,,,,,,882555,1038219,,1920774,,1197397,,1197397,,,,,645620,775747,,1421367,,,,,,,,,,,,,,,,,414364,543375,,957739,,,,,,,,,,,,,,1395581,,1395581,,,,,,,,,769280,,,769280,,,,,35015404,13368731,,19066778,67450913
2010,171128,Michigan Technological University,MI,NCAA Division II (with football),Division I Men's Ice Hockey,1,NCAA,4000,1318,5318,,,,,,,,,,,,,605511,607270,,1212781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492924,,,1492924,,,,,,,,,1662100,,,1662100,,,,,,,,,,,,,,,,,,,,,103150,103150,,206300,,337660,,337660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91181,194863,,286044,,,,,76024,68889,,144913,75116,69798,,144914,,434560,,434560,,,,,,,,,,,,,,,,,4106006,1816190,,966632,6888828
2010,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13255,12841,26096,,,,,,,,,1625878,,,1625878,5102129,2354163,,7456292,,,,,,,,,1252667,1660666,,2913333,,,,,,,,,,,,,,1225492,,1225492,23552233,,,23552233,523342,542156,,1065498,842056,1408441,,2250497,3666428,,,3666428,,,,,,,,,,,,,,1883141,,1883141,,,,,,,,,1008993,1258603,,2267596,,1503510,,1503510,,,,,1185853,1288388,,2474241,,,,,,,,,,,,,,,,,666881,898853,,1565734,,,,,,,,,,,,,,1390866,,1390866,,799462,,799462,,,,,1038690,,,1038690,,,,,40465150,16213741,,39158100,95836991
2010,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2397,2409,4806,,,,,,,,,,,,,76628,55410,,132038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73615,,73615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87616,,87616,,,,,,,,,,,,,,,,,76628,216641,,185448,478717
2011,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,16036,16980,33016,,,,,,,,,1341609,,,1341609,9837886,3503228,,13341114,,,,,,,,,962379,1304200,,2266579,,,,,,,,,,,,,,1018937,,1018937,19079552,,,19079552,487738,770453,,1258191,,1024003,,1024003,3051506,,,3051506,,,,,,,,,,,,,,1600570,,1600570,,,,,,,,,925882,1021043,,1946925,,1238696,,1238696,,,,,656702,862024,,1518726,,,,,,,,,,,,,,,,,444166,524673,,968839,,,,,,,,,,,,,,1715381,,1715381,,,,,,,,,867609,,,867609,,,,,37655029,14583208,,20935024,73173261
2011,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3977,1337,5314,,,,,,,,,,,,,705568,607044,,1312612,,,,,,,,,189587,97666,,287253,,,,,,,,,,,,,,,,,1512520,,,1512520,,,,,,,,,1923497,,,1923497,,,,,,,,,,,,,,,,,,,,,120090,98256,,218346,,370763,,370763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85682,191607,,277289,,,,,,,,,,,,,,446259,,446259,,,,,,,,,,,,,,,,,4536944,1811595,,1062697,7411236
2011,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13441,13019,26460,,,,,,,,,1804600,,,1804600,5933437,2898815,,8832252,,,,,,,,,1464525,1749956,,3214481,,,,,,,,,,,,,,1263603,,1263603,23640337,,,23640337,547050,691464,,1238514,869654,1357462,,2227116,2984366,,,2984366,1147121,,,1147121,,,,,,,,,,1951681,,1951681,,,,,,,,,1193750,1354130,,2547880,,1611488,,1611488,,,,,1209509,1314059,,2523568,,,,,,,,,,,,,,,,,771104,998343,,1769447,,,,,,,,,,,,,,1542794,,1542794,,901590,,901590,,,,,1146498,,,1146498,,,,,42711951,17635385,,40625902,100973238
2011,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2388,2425,4813,,,,,,,,,,,,,73988,61434,,135422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74725,,74725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16627,21754,,38381,,113855,,113855,,,,,,,,,,,,,,,,,90615,271768,,195876,558259
2012,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,16749,17153,33902,,,,,,,,,1365808,,,1365808,9451845,3248120,,12699965,,,,,,,,,955036,1288212,,2243248,,,,,,,,,,,,,,1075370,,1075370,20624183,,,20624183,519055,727867,,1246922,,1075884,,1075884,2942081,,,2942081,,,,,,,,,,,,,,1482391,,1482391,,,,,,,,,1056465,1055411,,2111876,,1259236,,1259236,,,,,692544,915657,,1608201,,,,,,,,,,,,,,,,,555328,610694,,1166022,,,,,,,,,,,,,,1769284,,1769284,,,,,,,,,756238,,,756238,,,,,38918583,14508126,,23467425,76894134
2012,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3896,1299,5195,,,,,,,,,,,,,722767,576310,,1299077,,,,,,,,,162893,145663,,308556,,,,,,,,,,,,,,,,,1669580,,,1669580,,,,,,,,,1994588,,,1994588,,,,,,,,,,,,,,,,,,,,,148780,84991,,233771,,364096,,364096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103311,202662,,305973,,,,,,,,,,,,,,479899,,479899,,,,,,,,,,,,,,,,,4801919,1853621,,1257079,7912619
2012,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13745,13209,26954,,,,,,,,,2190623,,,2190623,6488836,3171595,,9660431,,,,,,,,,1530279,1867920,,3398199,,,,,,,,,,,,,,1332123,,1332123,23061374,,,23061374,562163,698307,,1260470,937498,1595390,,2532888,3086799,,,3086799,1709923,,,1709923,,,,,,,,,,2171364,,2171364,,,,,,,,,1176703,1651739,,2828442,,1769859,,1769859,,,,,1651309,1595350,,3246659,,,,,,,,,,,,,,,,,810825,921116,,1731941,,,,,,,,,,,,,,1626854,,1626854,,885803,,885803,,,,,1114298,,,1114298,,,,,44320630,19287420,,47755131,111363181
2012,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2363,2393,4756,,,,,,,,,,,,,69576,43620,,113196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32028,,,32028,,,,,,,,,,,,,,,,,,,,,,,,,82193,,,82193,,106518,,106518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43265,32006,,75271,,135978,,135978,,,,,,,,,,,,,,,,,227062,318122,,89342,634526
2013,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17111,17465,34576,,,,,,,,,1424936,,,1424936,9878240,3679055,,13557295,,,,,,,,,968305,1416664,,2384969,,,,,,,,,,,,,,1138588,,1138588,26678123,,,26678123,607411,841450,,1448861,,1042084,,1042084,3383805,,,3383805,,,,,,,,,,,,,,1607128,,1607128,,,,,,,,,1096048,1090340,,2186388,,1246958,,1246958,,,,,745099,945398,,1690497,,,,,,,,,,,,,,,,,563406,742872,,1306278,,,,,,,,,,,,,,1849312,,1849312,,,,,,,,,780944,,,780944,,,,,46126317,15599849,,24859989,86586155
2013,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3881,1316,5197,,,,,,,,,,,,,725475,600020,,1325495,,,,,,,,,217983,148896,,366879,,,,,,,,,,,,,,,,,1602610,,,1602610,,,,,,,,,2050908,,,2050908,,,,,,,,,,,,,,,,,,,,,134426,116867,,251293,,398830,,398830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120908,225100,,346008,,,,,,,,,,,,,,464727,,464727,,,,,,,,,,,,,,,,,4852310,1954440,,1407904,8214654
2013,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13814,13414,27228,,,,,,,,,2126436,,,2126436,7457555,3294619,,10752174,,,,,,,,,1716950,1923929,,3640879,,,,,,,,,,,,,,1318594,,1318594,26755732,,,26755732,574531,712664,,1287195,1007837,1703163,,2711000,3467536,,,3467536,1746494,1658378,,3404872,,,,,,,,,,2168224,,2168224,,,,,,,,,1237893,1508511,,2746404,,1972257,,1972257,,,,,1558172,1546759,,3104931,,,,,,,,,,,,,,,,,822494,1023340,,1845834,,,,,,,,,,,,,,1576263,,1576263,,935441,,935441,,,,,1115188,,,1115188,,,,,49586818,21342142,,51902203,122831163
2013,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2405,2312,4717,,,,,,,,,,,,,74336,44826,,119162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82379,,,82379,37220,,,37220,,,,,,,,,,,,,,,,,,,,,60670,,,60670,,147346,,147346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40569,39247,,79816,,185208,,185208,,,,,,,,,,,,,,,,,295174,416627,,201642,913443
2014,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17257,17781,35038,,,,,,,,,1538644,,,1538644,10696689,3590923,,14287612,,,,,,,,,1094972,1618532,,2713504,,,,,,,,,,,,,,1000058,,1000058,27694367,,,27694367,657968,803306,,1461274,,1104038,,1104038,3268472,,,3268472,,,,,,,,,,,,,,1485530,,1485530,,,,,,,,,1088760,1163121,,2251881,,1332451,,1332451,,,,,754526,899308,,1653834,,,,,,,,,,,,,,,,,582876,655323,,1238199,,,,,,,,,,,,,,1781330,,1781330,,,,,,,,,700410,,,700410,,,,,48077684,15433920,,25980026,89491630
2014,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3907,1334,5241,,,,,,,,,,,,,693890,607610,,1301500,,,,,,,,,233358,199061,,432419,,,,,,,,,,,,,,,,,1598720,,,1598720,,,,,,,,,2225109,,,2225109,,,,,,,,,,,,,,,,,,,,,89189,146815,,236004,,398101,,398101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107387,206960,,314347,,,,,,,,,,,,,,485327,,485327,,,,,,,,,,,,,,,,,4947653,2043874,,1702579,8694106
2014,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13789,13508,27297,,,,,,,,,2249705,,,2249705,7475989,3338261,,10814250,,,,,,,,,1782551,1997152,,3779703,,,,,,,,,,,,,,1442906,,1442906,31880547,,,31880547,642761,669598,,1312359,1144661,1650207,,2794868,3195962,,,3195962,1937576,1932351,,3869927,,,,,,,,,,2174235,,2174235,,,,,,,,,1267950,1489937,,2757887,,2085149,,2085149,,,,,1863373,1623166,,3486539,,,,,,,,,,,,,,,,,1087382,1068237,,2155619,,,,,,,,,,,,,,1560634,,1560634,,1015788,,1015788,,,,,1165386,,,1165386,,,,,55693843,22047621,,53262493,131003957
2014,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2476,2266,4742,,,,,,,,,,,,,67823,66229,,134052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87902,,,87902,40161,,,40161,,,,,,,,,,,,,,,,,,,,,52106,,,52106,,152175,,152175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24478,28479,,52957,,120637,,120637,,,,,,,,,,,,,,,,,272470,367520,,92020,732010
2015,171100,Michigan State University,MI,NCAA Division I-A,,1,NCAA,17376,18049,35425,,,,,,,,,1502122,,,1502122,10432557,4112768,,14545325,,,,,,,,,1274983,1757061,,3032044,,,,,,,,,,,,,,1174495,,1174495,31978126,,,31978126,714423,893839,,1608262,,1187080,,1187080,3592751,,,3592751,,,,,,,,,,,,,,1697923,,1697923,,,,,,,,,1116484,1324563,,2441047,,1212268,,1212268,,,,,815673,1025244,,1840917,,,,,,,,,,,,,,,,,589080,763504,,1352584,,,,,,,,,,,,,,1957634,,1957634,,,,,,,,,819835,,,819835,,,,,52836034,17106379,,29830107,99772520
2015,171128,Michigan Technological University,MI,NCAA Division II (with football),,1,NCAA,3904,1425,5329,,,,,,,,,,,,,801837,646911,,1448748,,,,,,,,,212693,173238,,385931,,,,,,,,,,,,,,,,,1827249,,,1827249,,,,,,,,,2244610,,,2244610,,,,,,,,,,,,,,,,,,,,,80249,124672,,204921,,439415,,439415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130746,227592,,358338,,,,,,,,,,,,,,509759,,509759,,,,,,,,,,,,,,,,,5297384,2121587,,1613007,9031978
2015,170976,University of Michigan-Ann Arbor,MI,NCAA Division I-A,,1,NCAA,13642,13519,27161,,,,,,,,,2382124,,,2382124,8920109,3700917,,12621026,,,,,,,,,2207574,2370973,,4578547,,,,,,,,,,,,,,1605060,,1605060,36597583,,,36597583,684668,753891,,1438559,1118932,1833052,,2951984,3655058,,,3655058,1948857,1916963,,3865820,,,,,,,,,,2427262,,2427262,,,,,,,,,1330625,1772478,,3103103,,2393103,,2393103,,,,,1848331,1845313,,3693644,,,,,,,,,,,,,,,,,921800,1072090,,1993890,,,,,,,,,,,,,,1745636,,1745636,,1245935,,1245935,,,,,1338854,,,1338854,,,,,62954515,24682673,,52603885,140241073
2015,171137,University of Michigan-Dearborn,MI,NAIA Division II,,2,NAIA,2556,2320,4876,,,,,,,,,,,,,61088,57260,,118348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65189,,,65189,,,,,,,,,,,,,,,,,,,,,52802,,,52802,,127994,,127994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33631,26171,,59802,,131421,,131421,,,,,,,,,,,,,,,,,212710,342846,,720055,1275611
